6773.thousand_nights_vol07_29_burton_64kb_0|“Do what seemeth good to thee.
5957.blackpoodle_11_anstey_64kb_33|'Little idiot!
5957.blackpoodle_11_anstey_64kb_34|'she'll spoil the whole thing; every heroine has to be tried!'
5957.blackpoodle_11_anstey_64kb_35|'Well, then, she shall be tried if you really think she ought to be, Archie; it won't hurt her though, will it?'
5957.blackpoodle_11_anstey_64kb_36|'Of course it won't; it's all right. Now for the trial: here's the court, and here's a place for the judge
5957.blackpoodle_11_anstey_64kb_37|'here's the dock -- stick Lady What's-her-name inside -- that's it. We must do without a jury, but I suppose we ought to have a judge; oh, this fellow will do for judge!'
5957.blackpoodle_11_anstey_64kb_38|'m glad of it -- I'll let her off!'
5957.blackpoodle_11_anstey_64kb_39|'Oh, but Archie,
5957.blackpoodle_11_anstey_64kb_40|'can a jester be a judge?'
5957.blackpoodle_11_anstey_64kb_41|'judges make jokes sometimes -- I've heard papa say so, and he's a barrister, and ought to know.'
5957.blackpoodle_11_anstey_64kb_42|'But this one doesn't make real jokes!
5957.blackpoodle_11_anstey_64kb_43|'Who asked him to? Judges are not obliged to make jokes, Winnie. I believe you are trying to get her off, but I'
5957.blackpoodle_11_anstey_64kb_44|'There, Archie, you can't say she didn't speak that time!'
5957.blackpoodle_11_anstey_64kb_45|'Now, you have done it!
5957.blackpoodle_11_anstey_64kb_46|'If she'd confessed, we might have shown mercy. Now we shall have to prove it, and if we do I'
5957.blackpoodle_11_anstey_64kb_47|'If she says "Guilty, and she won't do it again!"
5957.blackpoodle_11_anstey_64kb_48|'It's too late for that now,
5957.blackpoodle_11_anstey_64kb_49|'no, we must prove it.'
5957.blackpoodle_11_anstey_64kb_50|'But how are you going to prove it?'
5957.blackpoodle_11_anstey_64kb_51|'You wait. I've been in court once or twice with papa, and seen him prove all sorts of things. First, we must have in the fellow who sold the poison -- the apothecary, you know. Oh, I say, though, I forgot that -- he's the judge; that won't do!'
5957.blackpoodle_11_anstey_64kb_52|'Then you can't prove it after all -- I'
5957.blackpoodle_11_anstey_64kb_53|'One would think you rather liked being poisoned,
5957.blackpoodle_11_anstey_64kb_54|'I like magnesia, and it isn't poison, really -- it's medicine.'
5957.blackpoodle_11_anstey_64kb_55|'What's a sentence?
5957.blackpoodle_11_anstey_64kb_56|'You'll see; this is the judge talking now: "Lady Ethelinda, you've been found guilty of very bad conduct; you've put arsenic in your beloved Queen's tea!"'
5957.blackpoodle_11_anstey_64kb_57|'Why, I haven't had tea yet!
5957.blackpoodle_11_anstey_64kb_58|'m sorry to tell you that we shall have to cut your head off!"'
5957.blackpoodle_11_anstey_64kb_59|'What have I done?
5957.blackpoodle_11_anstey_64kb_60|'it will all come right in the end; it always does.'
5957.blackpoodle_11_anstey_64kb_61|'she mustn't have her head cut off.'
5957.blackpoodle_11_anstey_64kb_62|'It will be all right, Winnie, if you will only leave it to me and not interfere. You promised not to interrupt, and yet you will keep on doing it!'
5957.blackpoodle_11_anstey_64kb_63|'The Tower of London;
5957.blackpoodle_11_anstey_64kb_64|'she's in prison now, languishing in her prison cell, and do you know, I rather think her heart's beginning to soften a little: she wants you to come and see her. You won't refuse her last request, Winnie, will you?'
5957.blackpoodle_11_anstey_64kb_65|'As if I could!
5957.blackpoodle_11_anstey_64kb_66|'I -- I can't, Archie!
5957.blackpoodle_11_anstey_64kb_67|'If you don't, she'll think you'r
5957.blackpoodle_11_anstey_64kb_68|'m gone and mouldering away in my felon's grave it will be too late then, and you'll be sorry. It's the last thing I shall ever ask you!"'
5957.blackpoodle_11_anstey_64kb_69|'Oh, Ethelinda, darling, don't!
5957.blackpoodle_11_anstey_64kb_70|'don't go on talking in that dreadful way; I can't bear it. Archie, I must forgive her now!'
5957.blackpoodle_11_anstey_64kb_71|'Oh yes, forgive her,
5957.blackpoodle_11_anstey_64kb_72|'queens shouldn't sulk or bear malice.'
5957.blackpoodle_11_anstey_64kb_73|'she's quite good again. Now let's play at something not quite so horrid!'
5957.blackpoodle_11_anstey_64kb_74|'When we've done with this, we will; but it isn't half over yet; there's all the execution to come. It's the fatal day now, the dismal scaffold is erected
5957.blackpoodle_11_anstey_64kb_75|'the sheriff is mounting guard over it
5957.blackpoodle_11_anstey_64kb_76|'the trembling criminal is brought out amidst the groans of the populace (groan, Winnie, can't you?)'
5957.blackpoodle_11_anstey_64kb_77|'I shan't groan,
5957.blackpoodle_11_anstey_64kb_78|'Don't be a little duffer,
5957.blackpoodle_11_anstey_64kb_79|'the end is to be a surprise, so I can't tell you what it is till it comes. You've heard of pardons arriving just in time, haven't you? Very well then. Only I don't say one will arrive here, you know, I only say, wait!'
5957.blackpoodle_11_anstey_64kb_80|'m the headsman; and -- and I say, Winnie, perhaps you'd better hide your face now; a queen wouldn't look on at the execution, really; at least a nice queen wouldn't!'
5957.blackpoodle_11_anstey_64kb_81|'The wretched woman,
5957.blackpoodle_11_anstey_64kb_82|'is led tottering to the block, and then the headsman, very respectfully, cuts off some of her beautiful golden hair, so that it shouldn't get in his way.'
5957.blackpoodle_11_anstey_64kb_83|'This is the head of a traitress!'
5957.blackpoodle_11_anstey_64kb_84|'I ought to be masked though,
5957.blackpoodle_11_anstey_64kb_85|'or I might be recognised -- executioners had to be masked. I'll tie a handkerchief over my eyes and that will have to do.'
5957.blackpoodle_11_anstey_64kb_86|'What shall I do without her?
5957.blackpoodle_11_anstey_64kb_87|'how can I bear it. Ah, I ought to be lying there -- not she. I wish I could take her place!'
5957.blackpoodle_11_anstey_64kb_88|'Do make haste, Archie,
5957.blackpoodle_11_anstey_64kb_89|'I can't bear it much longer; I shall have to open my eyes!'
5957.blackpoodle_11_anstey_64kb_90|'It was only the mask got in my way,
5957.blackpoodle_11_anstey_64kb_91|'I -- I couldn't help it, really, Winnie,
5957.blackpoodle_11_anstey_64kb_92|'I'll save up and buy you another twice as pretty. And you know you said Ethelinda didn't seem to care about you!'
5957.blackpoodle_11_anstey_64kb_93|'Stop, Archie, what do you mean? Did you think you'd cut her head off really!'
5957.blackpoodle_11_anstey_64kb_94|'I cut something's head off; I saw it go!'
5957.blackpoodle_11_anstey_64kb_95|'Then you did mean it! And, oh, it's the jester! I wouldn't have minded it so much, if you hadn't meant it for Ethelinda! And, Archie, you cruel, bad boy -- you've cut -- cut all her beautiful hair off, and I sat here and let you! She's not pretty at all now -- it's a shame, it is a shame!'
5957.blackpoodle_11_anstey_64kb_96|'to take her place,
5957.blackpoodle_11_anstey_64kb_97|'I think she looks better with her hair cut short,
5957.blackpoodle_11_anstey_64kb_98|'lots of girls wear it like that. And, don't you see, Winnie, this has been a plot got up by the jester; Ethelinda was innocent all the time, and he's just nicely caught in his own trap.... That -- that's the surprise!'
5957.blackpoodle_11_anstey_64kb_99|'I don't believe you one bit!
5957.blackpoodle_11_anstey_64kb_100|'You had no business to cut even my jester's head off, but you meant to do much worse! I won't play with you any more, and I shan't forgive you till the very day you go back to school!'
5957.blackpoodle_11_anstey_64kb_101|'Go away directly,
5957.blackpoodle_11_anstey_64kb_102|'I don't want to listen; leave me alone!'
5957.blackpoodle_11_anstey_64kb_103|'And how are you after your little romance, eh? Master Archie very nearly had your pretty little empty head off -- but of course I couldn't allow that. I hope you enjoyed yourself?'
5957.blackpoodle_11_anstey_64kb_104|'I did at first,
5957.blackpoodle_11_anstey_64kb_105|'Shall I tell her now, and make her ashamed and sorry -- would she believe me? would she care? Perhaps not, but I must speak out some time -- only I had better wait till the clock has stopped. I can't bear her to talk about that poor jester in this way.'
5957.blackpoodle_01_anstey_64kb_0|'desirable villa residence
5957.blackpoodle_01_anstey_64kb_1|'Wistaria Villa.
5957.blackpoodle_01_anstey_64kb_2|'seen a somethink
5957.blackpoodle_01_anstey_64kb_3|'So charmed to make your acquaintance, Mr. Weatherhead,
5957.blackpoodle_01_anstey_64kb_4|'you've brought the doggie in with you.
5957.blackpoodle_01_anstey_64kb_5|'anecdotal photo
5957.blackpoodle_01_anstey_64kb_6|'Did you tell Mr. Weatherhead, Lily, about Bingo
5957.blackpoodle_01_anstey_64kb_7|'Poor faithful old doggie!
5957.blackpoodle_01_anstey_64kb_8|'he thought Tacks was a nasty burglar, didn't he? he wasn't going to see Master robbed, was he?'
5957.blackpoodle_01_anstey_64kb_9|'Capital house-dog, sir,
5957.blackpoodle_01_anstey_64kb_10|'Bingo is a dog that does not attach himself easily to strangers
5957.blackpoodle_01_anstey_64kb_11|'shrieking and squealing,
5957.blackpoodle_01_anstey_64kb_12|'Ha, there you are, eh?
5957.blackpoodle_01_anstey_64kb_13|'don't rise, my boy, don't rise.
5957.blackpoodle_01_anstey_64kb_14|'cloudy -- rain before morning, I think. By the way, have you seen anything of my Bingo in here?'
5957.blackpoodle_01_anstey_64kb_15|'m afraid I've shot him!'
5957.blackpoodle_01_anstey_64kb_16|'he hasn't given you the slip, has he?'
5957.blackpoodle_01_anstey_64kb_17|'Never did such a thing in his life!
5957.blackpoodle_01_anstey_64kb_18|'he rushed off after a rat or a frog or something a few minutes ago, and as I stopped to light another cheroot I lost sight of him. I thought I saw him slip in under your gate, but I've been calling him from the front there and he won't come out.'
5957.blackpoodle_01_anstey_64kb_19|'if he had slipped in under the gate, I should have seen him. Perhaps he took it into his head to run home?'
5957.blackpoodle_01_anstey_64kb_20|'Oh, I shall find him on the doorstep, I expect, the knowing old scamp! Why, what d'ye think was the last thing he did, now?'
5957.blackpoodle_01_anstey_64kb_21|'wasn't that his bark? There again; it seems to come from the front of your house, don't you think?'
5957.blackpoodle_01_anstey_64kb_22|'I'll go and fasten him up before he's off again. How your teeth are chattering -- you've caught a chill, man -- go indoors at once and, if you feel equal to it, look in half an hour later about grog time, and I'll tell you all about it. Compliments to your mother. Don't forget -- about grog time!
5957.blackpoodle_13_anstey_64kb_0|'Are you afraid of me?
5957.blackpoodle_13_anstey_64kb_1|'why don't you speak? but perhaps,
5957.blackpoodle_13_anstey_64kb_2|'mortals cannot speak.'
5957.blackpoodle_13_anstey_64kb_3|'lest by speaking I should anger you -- for surely you must be some goddess or sea-nymph?'
5957.blackpoodle_13_anstey_64kb_4|'Ah, you can speak!
5957.blackpoodle_13_anstey_64kb_5|'No, I am no goddess or nymph, and you will not anger me -- if only you will tell me many things I want to know!'
5957.blackpoodle_13_anstey_64kb_6|'Why don't you ask me who I am, and what I am doing here alone? do not you care to know?'
5957.blackpoodle_13_anstey_64kb_7|'If you will deign to tell me,
5957.blackpoodle_13_anstey_64kb_8|'Then I will tell you,
5957.blackpoodle_13_anstey_64kb_9|'I am a siren -- are you not afraid now?'
5957.blackpoodle_13_anstey_64kb_10|'Why should I be afraid?
5957.blackpoodle_13_anstey_64kb_11|'Then you have never heard of me,
5957.blackpoodle_13_anstey_64kb_12|'you don't know why I sit and watch for the great gilded ships you mortals build for yourselves?'
5957.blackpoodle_13_anstey_64kb_13|'For your pleasure, I suppose,
5957.blackpoodle_13_anstey_64kb_14|'I have watched them myself many a time; they are grand as they sweep by, with their sharp brazen beaks cleaving the frothing water, and their painted sails curving out firm against the sky. It is good to hear the measured thud of the great oars and the cheerful cries of the sailors as they clamber about the cordage.'
5957.blackpoodle_13_anstey_64kb_15|'And you think I care for all that!
5957.blackpoodle_13_anstey_64kb_16|'the beach is bare; where, then, are all those gone who have lain here?'
5957.blackpoodle_13_anstey_64kb_17|'I cannot say,
5957.blackpoodle_13_anstey_64kb_18|'they are not here for long; when the sea comes up it carries them away.'
5957.blackpoodle_13_anstey_64kb_19|'And you do not care!
5957.blackpoodle_13_anstey_64kb_20|'you do not even try to keep them here?'
5957.blackpoodle_13_anstey_64kb_21|'Why should I care?
5957.blackpoodle_13_anstey_64kb_22|'I do not want them. More will always come when I wish. And it is so wearisome always to see the same faces, that I am glad when they go.'
5957.blackpoodle_13_anstey_64kb_23|'I will not believe it, siren,
5957.blackpoodle_13_anstey_64kb_24|'oh, you cannot be cruel!'
5957.blackpoodle_13_anstey_64kb_25|'No, I am not cruel,
5957.blackpoodle_13_anstey_64kb_26|'And why will you not believe me? It is true!'
5957.blackpoodle_13_anstey_64kb_27|'do you know how bitter it is to die, -- to leave the sunlight and the warm air, the fair land and the changing sea?'
5957.blackpoodle_13_anstey_64kb_28|'How can I know?
5957.blackpoodle_13_anstey_64kb_29|'I shall never die -- unless -- unless something happens which will never be!'
5957.blackpoodle_13_anstey_64kb_30|'No, you are wrong,
5957.blackpoodle_13_anstey_64kb_31|'I am not cruel, as you think me; when they are no longer pleasant to look at, I leave them. I never see them borne away. I never thought what became of them at last. Where are they now?'
5957.blackpoodle_13_anstey_64kb_32|'They are dead, siren,
5957.blackpoodle_13_anstey_64kb_33|'You can let them sail by unharmed,
5957.blackpoodle_13_anstey_64kb_34|'Of what use is my power to me if I may not exercise it? Why do you tell me of men's sufferings -- what are they to me?'
5957.blackpoodle_13_anstey_64kb_35|'They give you their lives,
5957.blackpoodle_13_anstey_64kb_36|'you fill them with a hopeless love and they die for it in misery -- yet you cannot even pity them!'
5957.blackpoodle_13_anstey_64kb_37|'Is it love that brings them here?
5957.blackpoodle_13_anstey_64kb_38|'What is this that is called love? For I have always known that if I ever love -- but then only -- I must die, though what love may be I know not. Tell me, so that I may avoid it!'
5957.blackpoodle_13_anstey_64kb_39|'You need not fear, siren,
5957.blackpoodle_13_anstey_64kb_40|'for, if death is only to come to you through love, you will never die!'
5957.blackpoodle_13_anstey_64kb_41|'Still, I want to know,
5957.blackpoodle_13_anstey_64kb_42|'If that is love,
5957.blackpoodle_13_anstey_64kb_43|'I shall indeed never die! But that is not how men love me?
5957.blackpoodle_13_anstey_64kb_44|'their love for you must be some strange and enslaving passion, since they will submit to death if only they may hear your voice. That is not true love, but a fatal madness.'
5957.blackpoodle_13_anstey_64kb_45|'But if mortals feel love for one another,
5957.blackpoodle_13_anstey_64kb_46|'The love of a man for a maiden who is gentle and good does not kill -- even when it is most hopeless,
5957.blackpoodle_13_anstey_64kb_47|'and where she feels it in return, it is well for both, for their lives will flow on together in peace and happiness.'
5957.blackpoodle_13_anstey_64kb_48|'And you love one of your mortal maidens like that?
5957.blackpoodle_13_anstey_64kb_49|'Is she more beautiful than I am?'
5957.blackpoodle_13_anstey_64kb_50|'but she is fair and gracious, my maiden; and it is she who has my love, and will have it while I live.'
5957.blackpoodle_13_anstey_64kb_51|'I could make you forget her.'
5957.blackpoodle_13_anstey_64kb_52|'even you cannot make me false to my love! And yet,
5957.blackpoodle_13_anstey_64kb_53|'I dare not challenge you, enchantress that you are; what is my will against your power?'
5957.blackpoodle_13_anstey_64kb_54|'You do not love me yet,
5957.blackpoodle_13_anstey_64kb_55|'you have called me cruel, and reproached me; you have dared to tell me of a maiden compared with whom I am nothing! You shall be punished. I will have you for my own, like the others!'
5957.blackpoodle_13_anstey_64kb_56|'take my life if you will -- but do not drive away the memory of my love; let me die, if I must die, faithful to her; for what am I, or what is my love, to you?'
5957.blackpoodle_13_anstey_64kb_57|'yet I want you; you shall lie here, and hold my hand, and look into my eyes, and forget all else but me.'
5957.blackpoodle_13_anstey_64kb_58|'I choose life while I may!'
5957.blackpoodle_13_anstey_64kb_59|'You have no choice,
5957.blackpoodle_13_anstey_64kb_60|'you are mine!
5957.blackpoodle_13_anstey_64kb_61|'The next wave will carry you away,
5957.blackpoodle_13_anstey_64kb_62|'there is still time; save yourself, for I cannot let you die!'
5957.blackpoodle_13_anstey_64kb_63|'It was true, then,
5957.blackpoodle_13_anstey_64kb_64|'it is love that I feel for him. But I cannot love -- I must not love him -- for if I do, my power is gone, and I must throw myself into the sea!'
5957.blackpoodle_13_anstey_64kb_65|'If one of us must die,
5957.blackpoodle_13_anstey_64kb_66|'I will be that one. I am cruel and wicked, as he told me; I have done harm enough!
5957.blackpoodle_13_anstey_64kb_67|'You are safe now,
5957.blackpoodle_13_anstey_64kb_68|'you shall not be drowned -- for I love you. Sail back to your maiden on the mainland, and be happy; but do not hate me for the evil I have wrought, for suffering and death have come to me in my turn!'
5957.blackpoodle_15_anstey_64kb_0|'You are indeed welcome,
5957.blackpoodle_15_anstey_64kb_1|'We thank you for this proof of your chivalry and devotion. It cannot be but that such courage and such self-sacrifice will meet with their reward!'
5957.blackpoodle_15_anstey_64kb_2|'You have made an old man very happy and hopeful,
5957.blackpoodle_15_anstey_64kb_3|'I ought, even now to deter you, but I am too selfish for that. And you are young and brave and ardent; why need we despair? I suppose,
5957.blackpoodle_15_anstey_64kb_4|'you would prefer as little delay as possible?'
5957.blackpoodle_15_anstey_64kb_5|'I should indeed,
5957.blackpoodle_15_anstey_64kb_6|'Say nothing of this to Chlorine,
5957.blackpoodle_15_anstey_64kb_7|'until the final arrangements are made; it will only distress her unnecessarily.'
5957.blackpoodle_15_anstey_64kb_8|'Prepare yourself, Augustus
5957.blackpoodle_15_anstey_64kb_9|'all is arranged. The event upon which our dearest hopes depend is fixed for to-morrow -- in the Grey Chamber of course, and at midnight.'
5957.blackpoodle_15_anstey_64kb_10|'But you do not know the Grey Chamber,
5957.blackpoodle_15_anstey_64kb_11|'Come with me, and I will show you where it is.
5957.blackpoodle_15_anstey_64kb_12|'To-morrow night is Christmas Eve, as you are doubtless aware,
5957.blackpoodle_15_anstey_64kb_13|'At twelve, then, you will present yourself at yonder door -- the door of the Grey Chamber -- where you must fulfil the engagement you have made.'
5957.blackpoodle_15_anstey_64kb_14|'Such extreme sensitiveness, my love,
5957.blackpoodle_15_anstey_64kb_15|'may be highly creditable to your sense of maidenly propriety, but allow me to say that I can scarcely regard it as a compliment.'
5957.blackpoodle_15_anstey_64kb_16|'you must not think I doubt you; and yet -- and yet -- the ordeal will be a severe one for you.'
5957.blackpoodle_15_anstey_64kb_17|'I will steel my nerves,
5957.blackpoodle_15_anstey_64kb_18|'and, after all, Chlorine, the ceremony is not invariably fatal; I have heard of the victim surviving it -- occasionally.'
5957.blackpoodle_15_anstey_64kb_19|'How brave you are!
5957.blackpoodle_15_anstey_64kb_20|'I will imitate you, Augustus; I too will hope.'
5957.blackpoodle_15_anstey_64kb_21|'Yes, I am weak, foolish, I know,
5957.blackpoodle_15_anstey_64kb_22|'but oh, I shudder so when I think of you, away in that gloomy Grey Chamber, going through it all alone!'
5957.blackpoodle_15_anstey_64kb_23|'May I ask where you intend to be at the time?
5957.blackpoodle_15_anstey_64kb_24|'You will not think us unfeeling,
5957.blackpoodle_15_anstey_64kb_25|'but dear papa considered that such anxiety as ours would be scarcely endurable did we not seek some distraction from it; and so, as a special favour, he has procured evening orders for Sir John Soane's Museum in Lincoln's Inn Fields, where we shall drive immediately after dinner.'
5957.blackpoodle_15_anstey_64kb_26|'If you are forgetting your anxiety in Sir John Soane's Museum, while I cool my heels in the Grey Chamber,
5957.blackpoodle_15_anstey_64kb_27|'is it probable that any clergyman will be induced to perform the marriage ceremony? Did you really think two people can be united separately?'
5957.blackpoodle_15_anstey_64kb_28|'you cannot really believe that we are to be married in -- in the Grey Chamber?'
5957.blackpoodle_15_anstey_64kb_29|'Then will you tell me where we are to be married?
5957.blackpoodle_15_anstey_64kb_30|'I think I have the right to know -- it can hardly be at the Museum!'
5957.blackpoodle_15_anstey_64kb_31|'I could almost fancy,
5957.blackpoodle_15_anstey_64kb_32|'that this is no feigned ignorance. Augustus, your aunt sent you a message -- tell me, have you read it?'
5957.blackpoodle_15_anstey_64kb_33|'Why of course, darling, of course,
5957.blackpoodle_15_anstey_64kb_34|'You must think no more of my silly joke; there is something I have to arrange in the Grey Chamber before I can call you mine. But, tell me, why does it make you so uneasy?
5957.blackpoodle_15_anstey_64kb_35|'I cannot help it -- no, I cannot!
5957.blackpoodle_15_anstey_64kb_36|'the test is so searching -- are you sure that you are prepared at all points? I overheard my father say that no precaution could safely be neglected. I have such a terrible foreboding that, after all, this may come between us.'
5957.blackpoodle_15_anstey_64kb_37|'Why will you persist in treating me like a child, Augustus?
5957.blackpoodle_15_anstey_64kb_38|'They have tried to hide it all from me, but do you suppose I do not know that in the Grey Chamber you will have to encounter one far more formidable, far more difficult to satisfy, than poor dear papa?'
5957.blackpoodle_15_anstey_64kb_39|'I see you know more than I -- more than I thought you did,
5957.blackpoodle_15_anstey_64kb_40|'Let us understand one another, Chlorine -- tell me exactly how much you know.'
5957.blackpoodle_15_anstey_64kb_41|'I have told you all I know,
5957.blackpoodle_15_anstey_64kb_42|'it is your turn to confide in me.'
5957.blackpoodle_15_anstey_64kb_43|'Not even for your sweet sake, my dearest,
5957.blackpoodle_15_anstey_64kb_44|'can I break the seal that is set upon my tongue. You must not press me. Come, let us talk of other things.'
5957.blackpoodle_15_anstey_64kb_45|'for her separate use and free from the control of her husband,
5957.blackpoodle_15_anstey_64kb_46|'little speck within the fruit
5957.blackpoodle_03_anstey_64kb_0|'There's not a man in England,
5957.blackpoodle_03_anstey_64kb_1|'that I'd sooner see her married to after to-day. You'r
5957.blackpoodle_03_anstey_64kb_2|'Good gracious, John,
5957.blackpoodle_03_anstey_64kb_3|'I never saw Bingo do such a thing before in his life!'
5957.blackpoodle_03_anstey_64kb_4|'never learnt that from me.'
5957.blackpoodle_03_anstey_64kb_5|'I tell you what I fancy it is,
5957.blackpoodle_03_anstey_64kb_6|'You see, he was always a sensitive, excitable animal, and perhaps the -- the sudden joy of his return has gone to his head -- upset him, you know.'
5957.blackpoodle_03_anstey_64kb_7|'It's very odd,
5957.blackpoodle_03_anstey_64kb_8|'but I always thought that it was half the right ear that Bingo had lost?'
5957.blackpoodle_03_anstey_64kb_9|'So it is, isn't it?
5957.blackpoodle_03_anstey_64kb_10|'Left, eh? Well, I thought myself it was the right.'
5957.blackpoodle_03_anstey_64kb_11|'Oh, it was the left,
5957.blackpoodle_03_anstey_64kb_12|'I know it because I remember so particularly thinking how odd it was that it should be the left ear, and not the right!
5957.blackpoodle_03_anstey_64kb_13|'My dear fellow, I can't tell you,
5957.blackpoodle_03_anstey_64kb_14|'everything seems odd when you come to think at all about it.'
5957.blackpoodle_03_anstey_64kb_15|'will you tell Aunt Mary and Mr. Travers, and -- and me, how it was you came to find Bingo? Mr. Travers is quite anxious to hear all about it.'
5957.blackpoodle_03_anstey_64kb_16|'There's a foreign-looking man staring over the hedge,
5957.blackpoodle_03_anstey_64kb_17|'Bingo always did hate foreigners.'
5957.blackpoodle_03_anstey_64kb_18|'Don't be alarmed, sir,
5957.blackpoodle_03_anstey_64kb_19|'the dog won't bite you -- unless there's a hole in the hedge anywhere.'
5957.blackpoodle_03_anstey_64kb_20|'Ah, I am not afraid,
5957.blackpoodle_03_anstey_64kb_21|'he is not enrage at me. May I ask, is it pairmeet to speak wiz Misterre Vezzered?'
5957.blackpoodle_03_anstey_64kb_22|'My name is Weatherhead,
5957.blackpoodle_03_anstey_64kb_23|'Can I be of any service to you?'
5957.blackpoodle_03_anstey_64kb_24|'Of a great service,
5957.blackpoodle_03_anstey_64kb_25|'you can restore to me ze poodle vich I see zere!'
5957.blackpoodle_03_anstey_64kb_26|'Oh, I think you are under a mistake -- that dog is not mine.'
5957.blackpoodle_03_anstey_64kb_27|'that poodle belongs to the gentleman over there.
5957.blackpoodle_03_anstey_64kb_28|'You are wrong,
5957.blackpoodle_03_anstey_64kb_29|'ze poodle is my poodle! And I was direct to you -- it is your name on ze carte!
5957.blackpoodle_03_anstey_64kb_30|'Eh, what's that; what's it all about?
5957.blackpoodle_03_anstey_64kb_31|'I do not vant to make a trouble,
5957.blackpoodle_03_anstey_64kb_32|'You must allow me to know my own dog, sir,
5957.blackpoodle_03_anstey_64kb_33|'Why, I've had him from a pup. Bingo, old boy, you know your master, don't you?'
5957.blackpoodle_03_anstey_64kb_34|'ere, and ven I arrive, I see my poodle in ze garden before me!'
5957.blackpoodle_03_anstey_64kb_35|'it's all very well to say that, but how can you prove it? I give you my word that the dog belongs to me! You must prove your claim, eh, Travers?'
5957.blackpoodle_03_anstey_64kb_36|'mere assertion is no proof: it's oath against oath, at present.'
5957.blackpoodle_03_anstey_64kb_37|'I don't like to see dogs taught to play the fool -- there's none of that nonsense about him, sir!'
5957.blackpoodle_03_anstey_64kb_38|'Ah, remark him well, then. Azor, mon chou, danse donc un peu!'
5957.blackpoodle_03_anstey_64kb_39|'Why, dash it all!
5957.blackpoodle_03_anstey_64kb_40|'he's dancing along like a d -- -- d mountebank! But it's my Bingo for all that!'
5957.blackpoodle_03_anstey_64kb_41|'You are not convince? You shall see more. Azor, ici! Pour Beesmarck, Azor!
5957.blackpoodle_03_anstey_64kb_42|'Meurs pour la Patrie!
5957.blackpoodle_03_anstey_64kb_43|'Where could Bingo have picked up so much French!
5957.blackpoodle_03_anstey_64kb_44|'Or so much French history?
5957.blackpoodle_03_anstey_64kb_45|'We've seen that, thank you,
5957.blackpoodle_03_anstey_64kb_46|'Upon my word, I don't know what to think. It can't be that that's not my Bingo after all -- I'll never believe it!'
5957.blackpoodle_03_anstey_64kb_47|'Will you come round to the front?
5957.blackpoodle_03_anstey_64kb_48|'I'll let you in, and we can discuss the matter quietly.
5957.blackpoodle_03_anstey_64kb_49|'as offer me money for ze dog! He agrees zat it is to me, you see? Ver well zen, zere is no more to be said!'
5957.blackpoodle_03_anstey_64kb_50|'Why, Weatherhead, have you lost faith too, then?
5957.blackpoodle_03_anstey_64kb_51|'m afraid I've been deceived by the extraordinary likeness. I don't think, on reflection, that that is Bingo!'
5957.blackpoodle_03_anstey_64kb_52|'What do you think, Travers?
5957.blackpoodle_03_anstey_64kb_53|'Well, since you ask me,
5957.blackpoodle_03_anstey_64kb_54|'I never did think so.'
5957.blackpoodle_03_anstey_64kb_55|'I thought from the first that was never my Bingo. Why, Bingo would make two of that beast!'
5957.blackpoodle_03_anstey_64kb_56|'Don't look so cut up about it, my boy,
5957.blackpoodle_03_anstey_64kb_57|'you did your best -- there was a sort of likeness, to any one who didn't know Bingo as we did.'
5957.blackpoodle_03_anstey_64kb_58|'A thousand pardons,
5957.blackpoodle_03_anstey_64kb_59|'but I find zis upon my dog -- it is not to me. Suffer me to restore it viz many compliments.'
5957.blackpoodle_03_anstey_64kb_60|'This was on the dog when you stopped that fellow, didn't you say?
5957.blackpoodle_03_anstey_64kb_61|'Y-yes,
5957.blackpoodle_03_anstey_64kb_62|'Very extraordinary,
5957.blackpoodle_03_anstey_64kb_63|'that's the wrong poodle beyond a doubt, but when he's found, he's wearing the right dog's collar! Now how do you account for that?'
5957.blackpoodle_03_anstey_64kb_64|'My good fellow,
5957.blackpoodle_03_anstey_64kb_65|'But look here, my dear Weatherhead,
5957.blackpoodle_03_anstey_64kb_66|'You must excuse me to-night, Travers,
5957.blackpoodle_03_anstey_64kb_67|'you see, just now it's rather a sore subject for me -- and I'
5957.blackpoodle_03_anstey_64kb_68|'Yes, we'll go into it to-morrow, Travers,
5957.blackpoodle_03_anstey_64kb_69|'and then -- hullo, why, there's that confounded Frenchman again!'
5957.blackpoodle_03_anstey_64kb_70|'Once more I return to apologise,
5957.blackpoodle_03_anstey_64kb_71|'What the dooce did he mean by that, eh?
5957.blackpoodle_03_anstey_64kb_72|'suppose we go and inspect the hole?'
5957.blackpoodle_03_anstey_64kb_73|'It's a very ordinary hole,
5957.blackpoodle_03_anstey_64kb_74|'Nothing in it -- nothing at all!'
5957.blackpoodle_03_anstey_64kb_75|'Except one Algernon Weatherhead, Esq., eh?
5957.blackpoodle_03_anstey_64kb_76|'look here! Has the dog damaged any of your shrubs?'
5957.blackpoodle_03_anstey_64kb_77|'quite the reverse. Let's all go indoors now; it's getting so cold!'
5957.blackpoodle_03_anstey_64kb_78|'See, there is a shrub or something uprooted!
5957.blackpoodle_03_anstey_64kb_79|'Why, hullo, look there! What's that?'
5957.blackpoodle_03_anstey_64kb_80|'it looks like -- like Bingo!'
5957.blackpoodle_03_anstey_64kb_81|'You hear what she says? Can't you speak out? Is that our Bingo?'
